,,,,,,,,,,,,,,,,,,,,,,
,Quarter-1,,Quarter-1,,,,,,,,,,,,,,,,,,,
,,,Portfolio-1,,,,,Portfolio-2,,,,,Portfolio-3,,,,,Portfolio-4,,,,
#,Promo-line,,SHARE OF Portfolio-1,Portfolio-1/ Product-1,Portfolio-1/ Product-2,Portfolio-1/ Product-3,Portfolio-1/ Product-4,SHARE OF Portfolio-2,Portfolio-2/ Product-1,Portfolio-2/ Product-2,Portfolio-2/ Product-3,Portfolio-2/ Product-4,SHARE OF Portfolio-3,Portfolio-3/ Product-1,Portfolio-3/ Product-2,Portfolio-3/ Product-3,Portfolio-3/ Product-4,SHARE OF Portfolio-4,Portfolio-4/ Product-1,Portfolio-4/ Product-2,Portfolio-4/ Product-3,Portfolio-4/ Product-4
1,Line 1,,50%,CREON,DUPHALAC ,,,25%,HEPTRAL,DUSPATALIN ,,,10%,IRS 19,IMUDON,,,15%,GANATON ,,,
2,Line 2,,30%,DUPHASTON ,FEMOSTON,,,25%,PHYSIOTENS,TRICOR /LIPANTHYL,OMACOR,,25%,HEPTRAL,,,,20%,BETASERC,DUPHALAC ,CREON,
3,Line 2 (big cities),,10%,CREON,DUPHALAC ,,,30%,PHYSIOTENS,TRICOR /LIPANTHYL,OMACOR,,30%,HEPTRAL,,,,30%,BETASERC,,,
4,Line 3 (big cities),,45%,DUPHASTON ,,,,25%,FEMOSTON,,,,25%,DUPHALAC ,OVATEL,,,5%,CREON,,,
5,Pharma line,,40%,CREON,,,,35%,DUPHALAC ,,,,25%,IRS 19,IMUDON,,,0%,,,,
6,Regional Manager-1,,50%,GASTRO,,,,25%,GYNECOLOGY,,,,20%,CARDIO-NEURO,,,,5%,IMMUNOLOGY,,,
7,,,,,,,,,,,,,,,,,,100%,,,,
8,,,,,,,,,,,,,,,,,,100%,,,,
9,,,,,,,,,,,,,,,,,,100%,,,,
10,,,,,,,,,,,,,,,,,,100%,,,,
11,,,,,,,,,,,,,,,,,,100%,,,,
12,,,,,,,,,,,,,,,,,,100%,,,,
13,,,,,,,,,,,,,,,,,,100%,,,,
14,,,,,,,,,,,,,,,,,,100%,,,,
15,,,,,,,,,,,,,,,,,,100%,,,,
16,,,,,,,,,,,,,,,,,,100%,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Quarter-2,,Quarter-2,,,,,,,,,,,,,,,,,,,
,,,Portfolio-1,,,,,Portfolio-2,,,,,Portfolio-3,,,,,Portfolio-4,,,,
#,Promo-line,,SHARE OF Portfolio-1,Portfolio-1/ Product-1,Portfolio-1/ Product-2,Portfolio-1/ Product-3,Portfolio-1/ Product-4,SHARE OF Portfolio-2,Portfolio-2/ Product-1,Portfolio-2/ Product-2,Portfolio-2/ Product-3,Portfolio-2/ Product-4,SHARE OF Portfolio-3,Portfolio-3/ Product-1,Portfolio-3/ Product-2,Portfolio-3/ Product-3,Portfolio-3/ Product-4,SHARE OF Portfolio-4,Portfolio-4/ Product-1,Portfolio-4/ Product-2,Portfolio-4/ Product-3,Portfolio-4/ Product-4
1,Line 1,,50%,CREON,DUPHALAC ,,,35%,HEPTRAL,DUSPATALIN ,,,10%,IRS 19,IMUDON,,,5%,GANATON ,DUPHABEARS,,
2,Line 2,,30%,DUPHASTON ,FEMOSTON,,,25%,PHYSIOTENS,TRICOR /LIPANTHYL,OMACOR,,25%,HEPTRAL,,,,20%,BETASERC,DUPHALAC ,CREON,
3,Line 2 (big cities),,10%,CREON,DUPHALAC ,,,30%,PHYSIOTENS,TRICOR /LIPANTHYL,OMACOR,,30%,HEPTRAL,,,,30%,BETASERC,,,
4,Line 3 (big cities),,45%,DUPHASTON ,,,,25%,FEMOSTON,,,,25%,DUPHALAC ,OVATEL,,,5%,CREON,,,
5,Pharma line,,45%,CREON,,,,30%,DUPHALAC ,,,,15%,IRS 19,IMUDON,,,10%,DUPHABEARS,,,
6,Regional Manager-1,,50%,GASTRO,,,,25%,GYNECOLOGY,,,,20%,CARDIO-NEURO,,,,5%,IMMUNOLOGY,,,
7,,,,,,,,,,,,,,,,,,100%,,,,
8,,,,,,,,,,,,,,,,,,100%,,,,
9,,,,,,,,,,,,,,,,,,100%,,,,
10,,,,,,,,,,,,,,,,,,100%,,,,
11,,,,,,,,,,,,,,,,,,100%,,,,
12,,,,,,,,,,,,,,,,,,100%,,,,
13,,,,,,,,,,,,,,,,,,100%,,,,
14,,,,,,,,,,,,,,,,,,100%,,,,
15,,,,,,,,,,,,,,,,,,100%,,,,
16,,,,,,,,,,,,,,,,,,100%,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Quarter-3,,Quarter-3,,,,,,,,,,,,,,,,,,,
,,,Portfolio-1,,,,,Portfolio-2,,,,,Portfolio-3,,,,,Portfolio-4,,,,
#,Promo-line,,SHARE OF Portfolio-1,Portfolio-1/ Product-1,Portfolio-1/ Product-2,Portfolio-1/ Product-3,Portfolio-1/ Product-4,SHARE OF Portfolio-2,Portfolio-2/ Product-1,Portfolio-2/ Product-2,Portfolio-2/ Product-3,Portfolio-2/ Product-4,SHARE OF Portfolio-3,Portfolio-3/ Product-1,Portfolio-3/ Product-2,Portfolio-3/ Product-3,Portfolio-3/ Product-4,SHARE OF Portfolio-4,Portfolio-4/ Product-1,Portfolio-4/ Product-2,Portfolio-4/ Product-3,Portfolio-4/ Product-4
1,,,,,,,,,,,,,,,,,,100%,,,,
2,,,,,,,,,,,,,,,,,,100%,,,,
3,,,,,,,,,,,,,,,,,,100%,,,,
4,,,,,,,,,,,,,,,,,,100%,,,,
5,,,,,,,,,,,,,,,,,,100%,,,,
6,,,,,,,,,,,,,,,,,,100%,,,,
7,,,,,,,,,,,,,,,,,,100%,,,,
8,,,,,,,,,,,,,,,,,,100%,,,,
9,,,,,,,,,,,,,,,,,,100%,,,,
10,,,,,,,,,,,,,,,,,,100%,,,,
11,,,,,,,,,,,,,,,,,,100%,,,,
12,,,,,,,,,,,,,,,,,,100%,,,,
13,,,,,,,,,,,,,,,,,,100%,,,,
14,,,,,,,,,,,,,,,,,,100%,,,,
15,,,,,,,,,,,,,,,,,,100%,,,,
16,,,,,,,,,,,,,,,,,,100%,,,,
17,,,,,,,,,,,,,,,,,,100%,,,,
18,,,,,,,,,,,,,,,,,,100%,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Quarter-4,,Quarter-4,,,,,,,,,,,,,,,,,,,
,,,Portfolio-1,,,,,Portfolio-2,,,,,Portfolio-3,,,,,Portfolio-4,,,,
#,Promo-line,,SHARE OF Portfolio-1,Portfolio-1/ Product-1,Portfolio-1/ Product-2,Portfolio-1/ Product-3,Portfolio-1/ Product-4,SHARE OF Portfolio-2,Portfolio-2/ Product-1,Portfolio-2/ Product-2,Portfolio-2/ Product-3,Portfolio-2/ Product-4,SHARE OF Portfolio-3,Portfolio-3/ Product-1,Portfolio-3/ Product-2,Portfolio-3/ Product-3,Portfolio-3/ Product-4,SHARE OF Portfolio-4,Portfolio-4/ Product-1,Portfolio-4/ Product-2,Portfolio-4/ Product-3,Portfolio-4/ Product-4
1,,,,,,,,,,,,,,,,,,100%,,,,
2,,,,,,,,,,,,,,,,,,100%,,,,
3,,,,,,,,,,,,,,,,,,100%,,,,
4,,,,,,,,,,,,,,,,,,100%,,,,
5,,,,,,,,,,,,,,,,,,100%,,,,
6,,,,,,,,,,,,,,,,,,100%,,,,
7,,,,,,,,,,,,,,,,,,100%,,,,
8,,,,,,,,,,,,,,,,,,100%,,,,
9,,,,,,,,,,,,,,,,,,100%,,,,
10,,,,,,,,,,,,,,,,,,100%,,,,
11,,,,,,,,,,,,,,,,,,100%,,,,
12,,,,,,,,,,,,,,,,,,100%,,,,
13,,,,,,,,,,,,,,,,,,100%,,,,
14,,,,,,,,,,,,,,,,,,100%,,,,
15,,,,,,,,,,,,,,,,,,100%,,,,
16,,,,,,,,,,,,,,,,,,100%,,,,
17,,,,,,,,,,,,,,,,,,100%,,,,
18,,,,,,,,,,,,,,,,,,100%,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,YEAR,,YEAR,,,,,,,,,,,,,,,,,,,
,,,Portfolio-1,,,,,Portfolio-2,,,,,Portfolio-3,,,,,Portfolio-4,,,,
#,Promo-line,,SHARE OF Portfolio-1,Portfolio-1/ Product-1,Portfolio-1/ Product-2,Portfolio-1/ Product-3,Portfolio-1/ Product-4,SHARE OF Portfolio-2,Portfolio-2/ Product-1,Portfolio-2/ Product-2,Portfolio-2/ Product-3,Portfolio-2/ Product-4,SHARE OF Portfolio-3,Portfolio-3/ Product-1,Portfolio-3/ Product-2,Portfolio-3/ Product-3,Portfolio-3/ Product-4,SHARE OF Portfolio-4,Portfolio-4/ Product-1,Portfolio-4/ Product-2,Portfolio-4/ Product-3,Portfolio-4/ Product-4
1,,,,,,,,,,,,,,,,,,100%,,,,
2,,,,,,,,,,,,,,,,,,100%,,,,
3,,,,,,,,,,,,,,,,,,100%,,,,
4,,,,,,,,,,,,,,,,,,100%,,,,
5,,,,,,,,,,,,,,,,,,100%,,,,
6,,,,,,,,,,,,,,,,,,100%,,,,
7,,,,,,,,,,,,,,,,,,100%,,,,
8,,,,,,,,,,,,,,,,,,100%,,,,
9,,,,,,,,,,,,,,,,,,100%,,,,
10,,,,,,,,,,,,,,,,,,100%,,,,
11,,,,,,,,,,,,,,,,,,100%,,,,
12,,,,,,,,,,,,,,,,,,100%,,,,
13,,,,,,,,,,,,,,,,,,100%,,,,
14,,,,,,,,,,,,,,,,,,100%,,,,
15,,,,,,,,,,,,,,,,,,100%,,,,
16,,,,,,,,,,,,,,,,,,100%,,,,
17,,,,,,,,,,,,,,,,,,100%,,,,
18,,,,,,,,,,,,,,,,,,100%,,,,
